"unit","opponent","oneVsOne","oneVsOneWins","oneVsOneSeconds","oneVsOneMargin","cost","costWins","costCount","costMargin","costMarginSpread","costValueLost","costOpponentValueLost","costSeconds","spotted","spottedWins","spottedMargin","spottedMarginSpread","spottedSeconds","firstShotCells","longestShotCells","spottedLongestShotCells","shotFirst"
"stnk","orca","won","3/3","4.5","0.689","won","3/3","4v3","0.625","0.138","1351","3600","6.6","won","3/3","0.654","0.101","6.3","3","5.1","6.1","yes"
"stnk","heli","lost","0/3","6.9","-0.04","won","3/3","4v3","0.55","0.15","1620","3600","7.5","won","3/3","0.533","0.2","7.8","3","5.1","5.1","same"
"arty","e1","won","3/3","13.6","0.715","lost","1/3","6v36","0.015","0.183","3447","3500","21.7","won","3/3","0.21","0.243","20.3","6","11","12","yes"
"arty","e2","won","3/3","12.2","0.904","won","2/3","6v23","0.297","0.521","2499","3650","16.1","won","3/3","0.263","0.284","15.4","6","10.2","11","yes"
"arty","e3","won","3/3","10.4","0.067","won","3/3","6v12","0.539","0.212","1659","3600","12.9","won","3/3","0.896","0.156","13.7",,"10.2","11","yes"
"arty","e4","lost","0/3","11.5","-0.85","lost","0/3","6v18","-0.179","0.112","3600","2956","17.1","lost","0/3","-0.034","0.056","18.4","6.1","10.2","12","yes"
"arty","e5","won","2/3","10.3","-0.194","won","3/3","6v12","0.451","0.149","1977","3600","15.7","won","3/3","0.37","0.204","18.1","6","11","12","yes"
"arty","rmbo","won","3/3","14.3","1","unresolved","1/3","6v2","0.663","0.056","1012","2833","46.4","won","3/3","0.721","0.221","17.4","4","8.1","9.1","yes"
"arty","jeep","lost","0/3","6.5","-0.99","lost","0/3","6v9","-0.23","0.267","3600","2770","14.8","lost","0/3","-0.201","0.336","17.1","3","11","12","no"
"arty","apc","lost","0/3","7.2","-0.944","lost","0/3","6v6","-0.349","0.093","3600","2344","10.5","lost","0/3","-0.383","0.3","10.4","6","10","12","no"
"arty","mtnk","lost","0/3","7.6","-0.971","lost","0/3","6v4","-0.527","0.088","3600","1701","13.2","lost","0/3","-0.364","0.155","13.7","5","12","12","no"
"arty","htnk","lost","0/3","8","-0.974","lost","0/3","6v2","-0.539","0.154","3600","1661","14.2","lost","0/3","-0.447","0.037","14.5","5","10","10","no"
"arty","msam","lost","0/3","6.2","-1","won","2/3","6v4","0.194","0.353","2893","3591","13.3","lost","0/3","-0.328","0.236","9.7",,"10.2","11.5","no"
"arty","bggy","lost","0/3","7","-0.511","won","3/3","6v12","0.205","0.21","2863","3600","27.9","lost","1/3","-0.199","0.565","20.9","2","10","11.2","no"
"arty","bike","won","3/3","3.9","0.724","won","3/3","6v7","0.426","0.208","2068","3500","13","won","3/3","0.644","0.099","9.4",,"10","11","yes"
"arty","ltnk","lost","0/3","7.7","-0.952","lost","0/3","6v5","-0.432","0.056","3600","2130","11.7","lost","0/3","-0.307","0.114","12.5","6","11","12","same"
"arty","ftnk","lost","0/3","5.8","-0.757","lost","0/3","6v6","-0.271","0.145","3600","2624","13.3","lost","0/3","-0.214","0.18","12.9","6","10","12","yes"
"arty","stnk","lost","0/3","5.1","-0.502","won","3/3","6v4","0.611","0.168","1402","3600","10.6","won","3/3","0.768","0","7.2","5","11","11","no"
"arty","mlrs","unresolved","1/3","36.6","0.35","won","2/3","6v6","0.581","0.057","1407","3499","30","won","3/3","0.793","0.097","13.8","4","10","12","yes"
"arty","orca","lost","0/3","5.4","-1","lost","0/3","6v3","-1","0","3600","0","11.3","lost","0/3","-1","0","11.8",,,,"no"
"arty","heli","lost","0/3","6","-1","lost","0/3","6v3","-1","0","3600","0","8","lost","0/3","-1","0","8",,,,"no"
"mlrs","e1","lost","1/3","31.7","-0.348","lost","0/3","6v36","-0.64","0.058","3600","1294","22.7","lost","0/3","-0.662","0.045","20.5","2.2","5","4.5","no"
